Golongan,Uraian,2018,2019,2020,2021,2022
Bahan Baku Penolong,NON MIGAS,188711.4,171275.7,141568.8,196190.0,237447.1
Bahan Baku Penolong,BAHAN BAKU PENOLONG,141581.2,126355.5,103209.9,147380.2,181260.1
Bahan Baku Penolong,Bahan Baku (Olahan) Untuk Industri,66407.2,61686.6,51073.3,71933.0,82600.5
Bahan Baku Penolong,Suku Cadang dan Perlengkapan Barang Modal,20534.7,19071.9,17719.2,20825.1,24097.0
Bahan Baku Penolong,Bahan Bakar Motor,9480.7,8612.1,4750.9,9334.9,15416.4
Bahan Baku Penolong,Bahan Bakar dan Pelumas (Belum Diolah),10061.6,6756.8,4294.7,9323.8,15078.4
Bahan Baku Penolong,Bahan Bakar dan Pelumas (Olahan),10378.5,6891.9,5850.7,8793.8,12827.8
Bahan Baku Penolong,Suku Cadang dan Perlengkapan Alat Angkutan,9757.5,8774.3,6059.1,8446.9,10557.0
Bahan Baku Penolong,Bahan Baku (Belum Diolah) Untuk Industri,6113.6,5659.1,4558.4,7435.4,7842.3
Bahan Baku Penolong,Makanan dan Minuman (Belum diolah) Untuk Industri,5547.6,5760.3,5232.0,6835.4,7265.8
Bahan Baku Penolong,Makanan dan Minuman (Olahan) Untuk Industri,3299.7,3142.6,3671.7,4451.8,5574.9
Barang Konsumsi,Makanan dan Minuman (Olahan) Untuk Rumah Tangga,4125.7,3347.1,3047.3,3896.3,4932.7
Barang Konsumsi,Barang Konsumsi Setengah Tahan Lama,3584.1,3814.5,3227.1,3599.8,4113.2
Barang Konsumsi,Barang Konsumsi Tidak Tahan Lama,3087.1,2811.0,2642.3,6223.5,3518.9
Barang Konsumsi,Makanan dan Minuman (Belum Diolah) Untuk Rumah Tangga,2330.6,2490.6,2344.9,2816.8,2941.6
Barang Konsumsi,Barang Konsumsi Tahan Lama,1918.5,2015.7,1730.3,2173.1,2228.1
Barang Konsumsi,Bahan Bakar dan Pelumas (Olahan),7881,5101,3757,5329,8904
Barang Konsumsi,Mobil Penumpang,5305,5635,3041,3629,6202
Barang Konsumsi,Barang Yang Tidak Diklasifikasikan,528,6636,7812,3595,2983
Barang Konsumsi,Alat Angkutan bukan untuk Industri,2889,238,2028,2181,2889
Barang Modal,Barang Modal Kecuali Alat Angkutan,25934.9,25795.9,21986.3,25743.7,31793.8
Barang Modal,Alat Angkutan Untuk Industri,3483.4,2106.8,1412.7,2520.4,3940.6
Barang Modal,Mobil Penumpang,5305,5635,3041,3629,6202
