kode_hs,Uraian,2018,2019,2020,2021,2022
27,MESIN-MESIN/PESAWAT MEKANIK,27197.4,26817.4,21808.5,25845.8,31572.8
15,MESIN/PERALATAN LISTRIK,21447.6,20060.5,19027.9,22338.5,26376.2
72,BESI DAN BAJA,10246.7,10397.0,6855.2,11957.1,13932.8
85,PLASTIK DAN BARANG DARI PLASTIK,9210.6,8784.6,7154.6,10185.2,11123.5
87,KENDARAAN DAN BAGIANNYA,8068.7,7161.4,4437.2,6702.3,9503.0
26,BAHAN KIMIA ORGANIK,6925.8,5818.6,5026.8,7292.4,7712.3
38,AMPAS/SISA INDUSTRI MAKANAN,3057.4,2649.4,2910.8,3950.0,4581.9
64,BAHAN BAKAR MINERAL,1713.1,1594.7,1522.6,3311.0,4480.2
84,GANDUM-GANDUMAN,3795.0,3237.3,3021.8,4074.0,4455.3
40,BENDA-BENDA DARI BESI DAN BAJA,3887.6,3651.3,2783.7,3138.2,3986.4
71,BERBAGAI PRODUK KIMIA,2669.9,2601.4,2974.9,3783.2,3898.7
75,PERHIAASAN/PERMATA,2267.4,1918.5,2008.9,2845.1,3699.6
62,PUPUK,1904.4,1523.7,1337.3,2204.3,3665.1
48,PERANGKAT OPTIK,2885.6,2874.4,2907.1,3183.4,3575.4
61,GULA DAN KEMBANG GULA,2125.5,1679.5,2276.1,2751.6,3447.0
44,KARET DAN BARANG DARI KARET,2351.3,2053.8,1767.2,2544.5,2848.3
29,BAHAN KIMIA ANORGANIK,2056.6,1898.3,1559.2,2236.5,2762.9
3,ALUMINIUM,2172.8,1891.6,1415.7,2086.1,2416.1
47,KAPAS,2396.8,1974.9,1327.7,1866.1,2243.5
94,BIJI-BIJIAN BERMINYAK,1515.8,1489.5,1420.6,1919.2,2181.0
39,BUBUR KAYU/PULP,1770.4,1542.6,1249.7,2000.4,2049.8
74,"SUSU, MENTEGA, TELUR",1014.5,1143.4,1156.6,1394.3,1989.2
28,KAIN RAJUTAN,1552.3,1600.0,1397.4,1990.8,1944.9
23,FILAMEN BUATAN,1745.0,1681.0,1178.1,1638.9,1944.4
80,"PERABOT, PENERANGAN RUMAH",1031.8,1201.5,1045.9,1351.7,1871.0
55,KERTAS/KARTON,1524.6,1584.6,1265.6,1528.2,1794.8
9,"GARAM, BELERANG, KAPUR",975.1,887.5,758.3,1230.1,1702.7
73,SARI BAHAN SAMAK & CELUP,1589.1,1493.3,1254.3,1678.7,1624.7
21,PRODUK INDUSTRI FARMASI,990.5,912.2,1158.8,4359.6,1565.3
