Tahun,Bulan,"Makanan, Minuman, dan Tembakau",Pakaian dan Alas Kaki,"Perumahan, Air, Listrik, dan Bahan Bakar Rumah Tangga","Perlengkapan, Peralatan, dan Pemeliharaan Rutin Rumah Tangga",Kesehatan,Transportasi,"Informasi, Komunikasi, dan Jasa Keuangan","Rekreasi, Olahraga, dan Budaya",Penyedia Makanan dan Minuman/Restoran,Perawatan Pribadi dan Jasa Lainnya,Umum
2023,April,0.34,0.61,0.07,0.23,0.26,0.84,-0.02,0.05,0.34,0.68,0.33
2023,Maret,0.35,0.17,-0.26,0.21,0,0.54,-0.03,0.11,0.24,0.28,0.18
2023,Februari,0.48,0.2,0.06,0.19,0.23,-0.22,-0.02,0.07,0.17,0.11,0.16
2023,Januari,1.16,0.1,0.35,0.24,0.4,-1.15,0.01,0.25,0.33,0.84,0.34
2022,Desember,1.57,0.09,0.63,0.15,0.14,0.45,-0.06,0.23,0.14,0.66,0.66
2022,November,0,0.12,0.07,0.23,0.2,0.01,0.02,0.22,0.1,0.44,0.09
2022,Oktober,-0.97,0.09,0.18,0.18,0.21,0.35,-0.07,0.16,0.3,0.24,-0.11
2022,September,-0.3,0.2,0.16,0.35,0.57,8.88,-0.03,0.31,0.57,0.28,1.17
2022,Agustus,-1.8,0.02,0.58,0.25,0.11,-0.08,-0.03,0.21,0.33,0.29,-0.21
2022,Juli,1.16,0.23,0.47,0.25,0.08,1.13,-0.01,0.33,0.34,0.27,0.64
2022,Juni,1.77,0.16,0.1,0.53,0.17,0.3,-0.04,0.12,0.33,0.16,0.61
2022,Mei,0.78,-0.2,0.1,0.43,0.19,0.65,0.03,0.3,0.54,0.32,0.4
2022,April,1.76,-0.01,0.28,0.66,0.31,2.42,0,0.2,0.55,0.75,0.95
2022,Maret,1.47,0.17,0.41,0.5,0.28,0.42,0,0.17,0.32,1.14,0.66
2022,Februari,-0.84,0.09,0.25,0.45,0.33,0.07,-0.04,0.34,0.53,0.6,-0.02
2022,Januari,1.17,0.43,0.51,0.79,0.24,0.02,-0.13,0.41,0.36,0.62,0.56
2021,Desember,1.61,0.22,0.1,0.24,0.16,0.62,-0.1,0.1,0.24,0.25,0.57
2021,November,0.84,0.09,0.14,0.35,0.01,0.51,0,0.18,0.22,0.37,0.37
2021,Oktober,0.1,0.15,0.08,0.13,0.06,0.33,0.04,0.04,0.12,0.02,0.12
2021,September,-0.47,0.27,0.08,0.2,0.12,0.07,-0.01,0.11,0.25,0.04,-0.04
2021,Agustus,-0.32,-0.07,0.05,0.27,0.32,-0.05,-0.01,-0.07,0.1,0.15,0.03
2021,Juli,0.15,0.08,0.05,0.11,0.24,-0.01,0.03,0.05,0.05,-0.07,0.08
2021,Juni,-0.71,-0.12,0.07,0.17,0.03,-0.35,-0.01,0.23,0.24,0.35,-0.16
2021,Mei,0.38,0.52,0.03,0.27,0.07,0.71,0.01,0.12,0.44,0.59,0.32
2021,April,0.2,0.19,0.07,0.26,0.18,0,0,0.2,0.21,0.29,0.13
2021,Maret,0.4,0.02,0.04,0.1,0.08,-0.25,-0.03,0.05,0.17,-0.39,0.08
2021,Februari,0.07,0.06,0.04,0.36,0.19,0.3,-0.03,0.06,0.28,-0.14,0.1
2021,Januari,0.81,0.11,0.03,0.15,0.19,-0.3,0.04,0.05,0.33,0.23,0.26
2020,Desember,1.49,0.03,0.03,0.08,0.19,0.46,-0.01,-0.01,0.27,-0.29,0.45
2020,November,0.86,0.14,-0.04,0.08,0.32,0.3,0.02,0.04,0.11,-0.23,0.28
2020,Oktober,0.29,0.09,-0.04,-0.03,0.15,-0.14,-0.02,0.02,0.19,-0.11,0.07
2020,September,-0.37,-0.01,0.07,0.15,0.16,-0.33,-0.01,0,0.13,0.25,-0.05
2020,Agustus,-0.86,0.07,0.02,0.08,0.06,-0.14,0.03,0.05,0.13,02.02,-0.05
2020,Juli,-0.73,0.09,-0.01,0.1,0.29,-0.17,0.02,0.15,0.15,0.93,-0.1
2020,Juni,0.47,0.02,-0.04,-0.03,0.13,0.41,-0.06,0.13,0.28,-0.08,0.18
2020,Mei,-0.32,0.09,0.04,0.1,0.27,0.87,0.08,0.06,0.08,0.12,0.07
2020,April,0.09,0.04,0.09,0.09,0.23,-0.42,-0.34,0.03,0.18,1.2,0.08
2020,Maret,0.1,0.12,0.02,0.28,0.21,-0.43,-0.09,0.02,0.36,0.99,0.1
2020,Februari,0.95,0.21,0.09,0.06,0.34,-0.37,-0.01,0.07,0.17,0.41,0.28
2020,Januari,1.62,0.12,0.13,0.09,0.42,-0.89,0.04,0.18,0.19,0.46,0.39
