jenis_sektor,uraian,2017,2018,2019,2020,2021,2022
Sektor Primer,Kehutanan,48.1,43.2,9366.5,42.6,41.4,98.8
Sektor Primer,Perikanan,59.3,24.3,247.5,48.2,17.1,31.6
Sektor Primer,Pertambangan,4375.9,3038.6,25675.2,2005.1,3817,5145
Sektor Primer,Tanaman Pangan; Perkebunan; dan Peternakan,1592.8,1721.2,43598.9,1184.2,950.7,1789.4
Sektor Sekunder,Industri Mesin; Elektronik; Instrumen Kedokteran; Peralatan Listrik; Presisi; Optik dan Jam,817.5,1341.1,499.8,1156,679.4,788.8
Sektor Sekunder,Industri Barang dari Kulit dan Alas Kaki,368.9,243.6,188.3,394.8,485.5,630.4
Sektor Sekunder,Industri Karet dan Plastik,633.1,447.0,291.6,4428.7,262.2,362.7
Sektor Sekunder,Industri Kayu,395.7,276.0,95.0,1263.4,68.1,243.2
Sektor Sekunder,Industri Kendaraan Bermotor dan Alat Transportasi Lain,1271.4,971.3,754.0,2556.5,1502,1522.8
Sektor Sekunder,Industri Kertas dan Percetakan,606.2,668.1,446.1,3745.9,952.5,1630.1
Sektor Sekunder,Industri Kimia Dan Farmasi,2578.5,1938.3,1486.1,22526.1,1656.5,4505.5
Sektor Sekunder,Industri Lainnya,504.4,174.0,245.3,2051.00,246.3,415.0
Sektor Sekunder,Industri Logam Dasar; Barang Logam; Bukan Mesin dan Peralatannya,2969.3,2219.1,3558.7,8857.6,6974.4,10960.6
Sektor Sekunder,Industri Makanan,1970.3,1307.3,1272.2,27872.7,2337.4,2424.6
Sektor Sekunder,Industri Mineral Non Logam,671.7,456.3,475.0,5861.9,327.1,537.3
Sektor Sekunder,Industri Tekstil,372.2,305.4,238.9,2103.2,312.2,658.3
Sektor Tersier,Hotel dan Restoran,1089.6,868.9,625.9,10203.1,17819.3,498.0
Sektor Tersier,Jasa Lainnya,1015.3,692.9,617.9,14242.7,24310.4,1558.4
Sektor Tersier,Konstruksi,224.7,248.1,161.6,68289.3,39569.4,165.3
Sektor Tersier,Listrik; Gas dan Air,4241.4,4383.8,5921.2,35518.8,38727.7,3762.7
Sektor Tersier,Perdagangan dan Reparasi,1294.1,609.3,421.2,16748.4,22432.4,736.7
Sektor Tersier,Perumahan; Kawasan Industri dan Perkantoran,3239.6,4302.7,2888.5,44852.8,85497.8,3014.6
Sektor Tersier,Transportasi; Gudang dan Telekomunikasi,1899.6,3027.2,4727.8,93282.8,61241.5,4125.1
