jenis_wilayah,provinsi,2017,2018,2019,2020,2021,2022
Bali dan Nusa Tenggara,Bali,592520.2,1548853.4,7393170.2,5432674.5,6355249.2,6002102.8
Bali dan Nusa Tenggara,Nusa Tenggara Barat,5413450.3,4135073.4,3518964,6582379.2,9090453.8,11031467
Bali dan Nusa Tenggara,Nusa Tenggara Timur,1081856.6,4246055.8,3752587.8,3028497.9,3742631.4,3459344.3
Sumatera,Sumatera Utara,11683639.2,8371820.3,19748994.9,18189528.4,18484498.2,22789227.3
Sumatera,Riau,10829836.6,9056400.6,26292176,34117809,24997796.4,43062003.9
Sumatera,Lampung,7014809.3,12314710.3,2428870.2,7120509.1,10513231.8,5809230.8
Sumatera,Kepulauan Riau,1397962.2,4385980.1,5656425.3,14249025.6,9768685.7,4817424.1
Sumatera,Sumatera Selatan,8200156.8,9519814.3,16921111.1,15824525.1,16266850.5,23525965.1
Sumatera,Bengkulu,296533.7,4902804.1,5458077.2,5399178.6,4923457.3,6957310
Sumatera,Bangka-Belitung,1734732.5,3112918.5,2915159.5,1863751.5,3677370.4,6308975.5
Sumatera,Jambi,3006610.8,2876523.5,4437380.2,3511677.2,6204193.9,8882658
Sumatera,Sumatera Barat,1516964.3,2309449.6,3026645.8,3106178.7,4183713.9,2559750.7
Sumatera,Aceh,782798.9,969983.8,3606930.6,8241055.6,7904744.3,4424177
Jawa,Jakarta Raya,47262304.3,49097422.6,62094839.6,42954743.9,54708229,89223588.7
Jawa,Jawa Barat,38390639.3,42278213,49284164.2,51400545.3,59948530.4,80808250.2
Jawa,Jawa Tengah,19866012.5,27474893.6,18654680.8,30606131.2,31311180.8,24992291.6
Jawa,Jawa Timur,45044540.4,33333129.8,45452714.1,55660575.2,52552238.5,65355949.2
Jawa,Banten,15141904.7,18637560.8,20708396.9,31145661.9,25989489.5,31283874.9
Jawa,Yogyakarta,294628.8,6131714.2,6298838.7,2683375.7,2761270.5,2274999
Kalimantan,Kalimantan Timur,10980216.4,25941962.1,21951990.2,25934008.8,30297382.2,39595633
Kalimantan,Kalimantan Barat,12380904.2,6591384.1,7699144.5,9256471.4,10773393,9382923.5
Kalimantan,Kalimantan Selatan,2981886.2,9975240.4,10060952.4,4286314.6,11003898.1,12310392
Kalimantan,Kalimantan Utara,853250.2,1356798,4400922.4,2235206,3792510.4,7526417.4
Kalimantan,Kalimantan Tengah,3037792.2,13091611.4,8591862.9,3709958.2,6359803.6,6556819.5
Sulawesi,Sulawesi Barat,660221.6,3144242.9,1187236.9,252945.1,395275.4,1313346.2
Sulawesi,Sulawesi Selatan,1969406.9,3275876.3,5672573.9,9142047.5,12075383.7,7527989.6
Sulawesi,Sulawesi Tengah,1929656.7,8488881.4,4438798.8,5261315.8,3012341.1,3758566.8
Sulawesi,Sulawesi Utara,1488173.3,4320130.7,8259595.9,3005639.6,3480026.7,5042095.9
Sulawesi,Gorontalo,888447.8,2666817.5,844372.9,683565.1,1004254.3,1113462.2
Sulawesi,Sulawesi Tenggara,3148717.5,1603411,3827081.4,2865732.7,4334208.8,7596036.8
Papua,Papua,1217853.2,104618.7,567670.9,2722182.5,910844.8,1311755.1
Papua,Papua Barat,59218.1,50860.2,380239.9,1925364.4,635552.6,2139120.6
Maluku,Maluku,52274.8,1013488.9,283166,474817.8,2939704.8,610951.5
Maluku,Maluku Utara,1150626.4,2276271.1,682652.8,662130.4,2665251.4,3414871.9
