jenis_sektor,uraian,2017,2018,2019,2020,2021,2022
Sektor Primer,Kehutanan,30.1,3053.2,9366.5,1163.6,6862.7,8603.1
Sektor Primer,Perikanan,33.1,87.6,247.5,564.9,1012.2,1214
Sektor Primer,Pertambangan,20635.1,33100,25675.2,13755.1,25517.1,62521.6
Sektor Primer,Tanaman Pangan; Perkebunan; dan Peternakan,22883.9,31186.2,43598.9,32096.5,29374.6,38878.5
Sektor Sekunder,Industri Mesin; Elektronik; Instrumen Kedokteran; Peralatan Listrik; Presisi; Optik dan Jam,2464.1,1950.5,1151.8,1156,535.0,3693.2
Sektor Sekunder,Industri Barang dari Kulit dan Alas Kaki,195.8,282.1,77.4,394.8,700.4,483.5
Sektor Sekunder,Industri Karet dan Plastik,4823.4,3414.5,3069.1,4428.7,7803,7369.8
Sektor Sekunder,Industri Kayu,1569.1,1535.7,1585.6,1263.4,1143.7,3587.9
Sektor Sekunder,Industri Kendaraan Bermotor dan Alat Transportasi Lain,1312.6,1836.8,2608.1,2556.5,1459.3,2425.2
Sektor Sekunder,Industri Kertas dan Percetakan,9022.9,2894,2950.1,3745.9,7833.5,9508.2
Sektor Sekunder,Industri Kimia Dan Farmasi,13734.3,13337.7,9484.1,22526.1,23363.7,28905.3
Sektor Sekunder,Industri Lainnya,677.9,717.4,2076.2,2051,1192,6721.3
Sektor Sekunder,Industri Logam Dasar; Barang Logam; Bukan Mesin dan Peralatannya,11345.4,10467.6,8183,8857.6,15655.8,13950.5
Sektor Sekunder,Industri Makanan,38540.1,39087.9,36602.5,27872.7,26517.5,54937
Sektor Sekunder,Industri Mineral Non Logam,7641.2,4523.4,3572.9,5861.9,6522.1,6367.9
Sektor Sekunder,Industri Tekstil,7863.2,3596.8,1312.6,2103.2,1972.4,5614.7
Sektor Tersier,Hotel dan Restoran,4797.2,9096.3,16163.1,10203.1,17819.3,21579.1
Sektor Tersier,Jasa Lainnya,3582.3,5551.3,16976.7,14242.7,24310.4,38096.7
Sektor Tersier,Konstruksi,30334.3,44979.7,55090.8,68289.3,39569.4,33846.5
Sektor Tersier,Listrik; Gas dan Air,25427.5,37264.9,37164.2,35518.8,38727.7,32107.5
Sektor Tersier,Perdagangan dan Reparasi,3712.4,6429.8,13662.9,16748.4,22432.4,31051.3
Sektor Tersier,Perumahan; Kawasan Industri dan Perkantoran,17251.2,15471.7,27796.5,44852.8,85497.8,66167.8
Sektor Tersier,Transportasi; Gudang dan Telekomunikasi,34473.5,58739.8,68082.6,93282.8,61241.5,75138.4
